Index,Region/Country/Area,Year,Series,Value
48,Sub-Saharan Africa,2019,Upper secondary education,0.86
49,Sub-Saharan Africa,2020,Upper secondary education,0.87
50,Northern America,1995,Primary education,0.99
51,Northern America,2005,Primary education,0.99
52,Northern America,2010,Primary education,1
53,Northern America,2015,Primary education,1
54,Northern America,2019,Primary education,1.01
55,Northern America,2020,Primary education,1
56,Northern America,2005,Lower secondary education,0.98
57,Northern America,2010,Lower secondary education,0.99
58,Northern America,2015,Lower secondary education,1
59,Northern America,2019,Lower secondary education,1
60,Northern America,2020,Lower secondary education,0.98
61,Northern America,1995,Upper secondary education,1.04
62,Northern America,2005,Upper secondary education,1.05
63,Northern America,2010,Upper secondary education,1.02
64,Northern America,2015,Upper secondary education,1.02
65,Northern America,2019,Upper secondary education,0.98
66,Northern America,2020,Upper secondary education,0.98
67,Latin America & the Caribbean,1995,Primary education,0.97
68,Latin America & the Caribbean,2005,Primary education,0.97
69,Latin America & the Caribbean,2010,Primary education,0.97
70,Latin America & the Caribbean,2015,Primary education,0.98
71,Latin America & the Caribbean,2019,Primary education,0.99
72,Latin America & the Caribbean,2020,Primary education,0.98
73,Latin America & the Caribbean,2005,Lower secondary education,1.05
74,Latin America & the Caribbean,2010,Lower secondary education,1.04
75,Latin America & the Caribbean,2015,Lower secondary education,1.02
76,Latin America & the Caribbean,2019,Lower secondary education,1.02
77,Latin America & the Caribbean,2020,Lower secondary education,1.03
78,Latin America & the Caribbean,2005,Upper secondary education,1.12
79,Latin America & the Caribbean,2010,Upper secondary education,1.16
80,Latin America & the Caribbean,2015,Upper secondary education,1.11
81,Latin America & the Caribbean,2019,Upper secondary education,1.09
82,Latin America & the Caribbean,2020,Upper secondary education,1.09
83,Central Asia,1995,Primary education,0.98
84,Central Asia,2005,Primary education,0.99
85,Central Asia,2010,Primary education,0.99
86,Central Asia,2015,Primary education,0.99
87,Central Asia,2019,Primary education,0.99
88,Central Asia,2020,Primary education,0.99
89,Central Asia,2005,Lower secondary education,0.98
90,Central Asia,2010,Lower secondary education,0.98
91,Central Asia,2015,Lower secondary education,0.99
92,Central Asia,2019,Lower secondary education,0.99
93,Central Asia,2020,Lower secondary education,0.99
94,Central Asia,2005,Upper secondary education,0.98
95,Central Asia,2010,Upper secondary education,1
96,Central Asia,2015,Upper secondary education,1.01
97,Central Asia,2019,Upper secondary education,1
98,Central Asia,2020,Upper secondary education,0.99
99,Eastern Asia,1995,Primary education,0.95
100,Eastern Asia,2005,Primary education,1
101,Eastern Asia,2010,Primary education,0.98
102,Eastern Asia,2015,Primary education,1
103,Eastern Asia,2019,Primary education,1.01
104,Eastern Asia,2020,Primary education,1.01
105,Eastern Asia,2005,Lower secondary education,0.99
106,Eastern Asia,2010,Lower secondary education,1.01
107,Eastern Asia,2015,Lower secondary education,1
108,Eastern Asia,2019,Lower secondary education,1.01
109,Eastern Asia,2020,Lower secondary education,1.01
110,Eastern Asia,1995,Upper secondary education,0.88
111,Eastern Asia,2005,Upper secondary education,0.99
112,Eastern Asia,2010,Upper secondary education,0.99
113,Eastern Asia,2015,Upper secondary education,1.04
114,Eastern Asia,2019,Upper secondary education,1.03
115,Eastern Asia,2020,Upper secondary education,1.03
116,South-central Asia,2005,Lower secondary education,0.9
117,South-central Asia,2010,Lower secondary education,0.97
118,South-central Asia,2015,Lower secondary education,1.04
119,South-central Asia,2019,Lower secondary education,1.03
120,South-central Asia,2020,Lower secondary education,1.03
121,South-eastern Asia,1995,Primary education,0.97
122,South-eastern Asia,2005,Primary education,0.97
123,South-eastern Asia,2010,Primary education,1
124,South-eastern Asia,2015,Primary education,0.97
125,South-eastern Asia,2019,Primary education,0.98
126,South-eastern Asia,2020,Primary education,0.98
127,South-eastern Asia,2005,Lower secondary education,1
128,South-eastern Asia,2010,Lower secondary education,1.03
129,South-eastern Asia,2015,Lower secondary education,1.03
130,South-eastern Asia,2019,Lower secondary education,1.02
131,South-eastern Asia,2020,Lower secondary education,1.02
132,South-eastern Asia,1995,Upper secondary education,0.93
133,South-eastern Asia,2005,Upper secondary education,0.98
134,South-eastern Asia,2010,Upper secondary education,0.98
135,South-eastern Asia,2015,Upper secondary education,0.97
136,South-eastern Asia,2019,Upper secondary education,1.05
137,South-eastern Asia,2020,Upper secondary education,1.05
138,Southern Asia,1995,Primary education,0.82
139,Southern Asia,2005,Primary education,0.96
140,Southern Asia,2010,Primary education,1
141,Southern Asia,2015,Primary education,1.06
142,Southern Asia,2019,Primary education,0.99
143,Southern Asia,2020,Primary education,0.99
144,Southern Asia,2005,Lower secondary education,0.9
145,Southern Asia,2010,Lower secondary education,0.96
146,Southern Asia,2015,Lower secondary education,1.05
147,Southern Asia,2019,Lower secondary education,1.03
148,Southern Asia,2020,Lower secondary education,1.03
149,Southern Asia,1995,Upper secondary education,0.49
150,Southern Asia,2005,Upper secondary education,0.81
151,Southern Asia,2010,Upper secondary education,0.9
152,Southern Asia,2015,Upper secondary education,0.95
153,Southern Asia,2019,Upper secondary education,0.98
154,Southern Asia,2020,Upper secondary education,0.95
155,Western Asia,1995,Primary education,0.88
156,Western Asia,2005,Primary education,0.91
157,Western Asia,2010,Primary education,0.93
158,Western Asia,2015,Primary education,0.94
159,Western Asia,2019,Primary education,0.94
160,Western Asia,2020,Primary education,0.94
161,Western Asia,2005,Lower secondary education,0.88
162,Western Asia,2010,Lower secondary education,0.91
163,Western Asia,2015,Lower secondary education,0.94
164,Western Asia,2019,Lower secondary education,0.94
165,Western Asia,2020,Lower secondary education,0.95
166,Western Asia,1995,Upper secondary education,0.68
167,Western Asia,2005,Upper secondary education,0.84
168,Western Asia,2010,Upper secondary education,0.9
169,Western Asia,2015,Upper secondary education,0.93
170,Western Asia,2019,Upper secondary education,0.9
171,Western Asia,2020,Upper secondary education,0.91
172,Europe,1995,Primary education,0.99
173,Europe,2005,Primary education,0.99
174,Europe,2010,Primary education,0.99
175,Europe,2015,Primary education,1
176,Europe,2019,Primary education,1
177,Europe,2020,Primary education,1
178,Europe,2005,Lower secondary education,0.99
179,Europe,2010,Lower secondary education,0.99
180,Europe,2015,Lower secondary education,0.99
181,Europe,2019,Lower secondary education,0.99
182,Europe,2020,Lower secondary education,1
183,Europe,1995,Upper secondary education,1.04
184,Europe,2005,Upper secondary education,1.01
185,Europe,2010,Upper secondary education,0.99
186,Europe,2015,Upper secondary education,1
187,Europe,2019,Upper secondary education,1
188,Europe,2020,Upper secondary education,1
189,Oceania,1995,Primary education,0.97
190,Oceania,2005,Primary education,0.98
191,Oceania,2010,Primary education,0.97
192,Oceania,2015,Primary education,0.97
193,Oceania,2019,Primary education,0.98
194,Oceania,2020,Primary education,0.98
195,Oceania,2005,Lower secondary education,0.99
196,Oceania,2010,Lower secondary education,0.95
197,Oceania,2015,Lower secondary education,0.9
198,Oceania,2019,Lower secondary education,0.93
199,Oceania,2020,Lower secondary education,0.94
200,Oceania,1995,Upper secondary education,0.97
201,Oceania,2005,Upper secondary education,0.95
202,Oceania,2010,Upper secondary education,0.92
203,Oceania,2015,Upper secondary education,0.88
204,Oceania,2019,Upper secondary education,0.96
205,Oceania,2020,Upper secondary education,0.99
206,Australia and New Zealand,1995,Primary education,1
207,Australia and New Zealand,2005,Primary education,1.01
208,Australia and New Zealand,2010,Primary education,1
209,Australia and New Zealand,2015,Primary education,1
210,Australia and New Zealand,2019,Primary education,1
211,Australia and New Zealand,2020,Primary education,1
212,Australia and New Zealand,2005,Lower secondary education,1.02
213,Australia and New Zealand,2010,Lower secondary education,0.96
214,Australia and New Zealand,2015,Lower secondary education,0.9
215,Australia and New Zealand,2019,Lower secondary education,0.95
216,Australia and New Zealand,2020,Lower secondary education,0.96
217,Australia and New Zealand,1995,Upper secondary education,0.97
218,Australia and New Zealand,2005,Upper secondary education,0.96
219,Australia and New Zealand,2010,Upper secondary education,0.94
220,Australia and New Zealand,2015,Upper secondary education,0.89
221,Australia and New Zealand,2019,Upper secondary education,0.96
222,Australia and New Zealand,2020,Upper secondary education,0.99
223,Afghanistan,1995,Primary education,0.52
224,Afghanistan,2005,Primary education,0.58
225,Afghanistan,2010,Primary education,0.68
226,Afghanistan,2015,Primary education,0.68
227,Afghanistan,2019,Primary education,0.67
228,Afghanistan,2005,Lower secondary education,0.35
229,Afghanistan,2010,Lower secondary education,0.53
230,Afghanistan,2015,Lower secondary education,0.58
231,Afghanistan,2019,Lower secondary education,0.6
232,Afghanistan,2005,Upper secondary education,0.28
233,Afghanistan,2010,Upper secondary education,0.42
234,Afghanistan,2015,Upper secondary education,0.52
235,Albania,1995,Primary education,0.97
236,Albania,2005,Primary education,1.01
237,Albania,2010,Primary education,1.01
238,Albania,2015,Primary education,1.03
239,Albania,2019,Primary education,1.03
240,Albania,2020,Primary education,1.03
241,Albania,2021,Primary education,1.02
242,Albania,2005,Lower secondary education,1.01
243,Albania,2010,Lower secondary education,1.03
244,Albania,2015,Lower secondary education,1.01
245,Albania,2019,Lower secondary education,1.04
246,Albania,2020,Lower secondary education,1.03
247,Albania,2021,Lower secondary education,1.04
248,Albania,2005,Upper secondary education,0.91
249,Albania,2010,Upper secondary education,0.97
250,Albania,2015,Upper secondary education,0.9
251,Albania,2019,Upper secondary education,0.98
252,Albania,2020,Upper secondary education,1.01
253,Albania,2021,Upper secondary education,1.02
254,Algeria,1995,Primary education,0.88
255,Algeria,2005,Primary education,0.93
256,Algeria,2010,Primary education,0.94
257,Algeria,2015,Primary education,0.95
258,Algeria,2019,Primary education,0.96
259,Algeria,2020,Primary education,0.97
260,Algeria,2021,Primary education,0.97
261,Algeria,2005,Lower secondary education,0.95
262,Algeria,2010,Lower secondary education,0.92
263,Algeria,1995,Upper secondary education,1.03
264,Algeria,2005,Upper secondary education,1.48
265,Algeria,2010,Upper secondary education,1.42
266,Angola,2010,Primary education,0.8
267,Angola,2015,Primary education,0.87
268,Angola,2010,Lower secondary education,0.75
269,Angola,2010,Upper secondary education,0.56
270,Anguilla,2005,Primary education,1.02
271,Anguilla,2010,Primary education,0.96
272,Anguilla,2015,Primary education,1
273,Anguilla,2019,Primary education,0.99
274,Anguilla,2005,Lower secondary education,0.97
275,Anguilla,2010,Lower secondary education,0.92
276,Anguilla,2019,Lower secondary education,0.98
277,Anguilla,2005,Upper secondary education,1.02
278,Anguilla,2010,Upper secondary education,1.1
279,Anguilla,2019,Upper secondary education,0.95
280,Antigua and Barbuda,2010,Primary education,0.92
281,Antigua and Barbuda,2015,Primary education,0.97
282,Antigua and Barbuda,2019,Primary education,0.98
283,Antigua and Barbuda,2010,Lower secondary education,0.9
284,Antigua and Barbuda,2015,Lower secondary education,0.96
285,Antigua and Barbuda,2010,Upper secondary education,1.53
286,Antigua and Barbuda,2015,Upper secondary education,1.15
287,Argentina,2005,Primary education,0.99
288,Argentina,2010,Primary education,0.99
289,Argentina,2015,Primary education,1
290,Argentina,2019,Primary education,1
291,Argentina,2020,Primary education,1.01
292,Argentina,2005,Lower secondary education,1.05
293,Argentina,2010,Lower secondary education,1.04
294,Argentina,2015,Lower secondary education,1.01
295,Argentina,2019,Lower secondary education,1
296,Argentina,2020,Lower secondary education,1
297,Argentina,2005,Upper secondary education,1.16
298,Argentina,2010,Upper secondary education,1.2
299,Argentina,2015,Upper secondary education,1.15
300,Argentina,2019,Upper secondary education,1.1
301,Argentina,2020,Upper secondary education,1.1
302,Armenia,1995,Primary education,1.02
303,Armenia,2005,Primary education,1.02
304,Armenia,2010,Primary education,1.03
305,Armenia,2015,Primary education,1.02
306,Armenia,2019,Primary education,1.01
307,Armenia,2020,Primary education,1.01
308,Armenia,2021,Primary education,1.01
309,Armenia,2005,Lower secondary education,0.98
310,Armenia,2010,Lower secondary education,0.99
311,Armenia,2019,Lower secondary education,1.02
312,Armenia,2020,Lower secondary education,1.02
313,Armenia,2021,Lower secondary education,1.02
314,Armenia,2010,Upper secondary education,0.96
315,Armenia,2015,Upper secondary education,1.11
316,Armenia,2019,Upper secondary education,1.12
317,Armenia,2020,Upper secondary education,1.1
318,Armenia,2021,Upper secondary education,1.06
319,Aruba,2005,Primary education,0.94
320,Aruba,2010,Primary education,0.99
321,Aruba,2015,Primary education,0.96
322,Aruba,2005,Lower secondary education,0.89
323,Aruba,2010,Lower secondary education,0.94
324,Aruba,2005,Upper secondary education,1.13
325,Aruba,2010,Upper secondary education,1.16
326,Australia,1995,Primary education,1
327,Australia,2005,Primary education,1.02
328,Australia,2010,Primary education,1
329,Australia,2015,Primary education,1
330,Australia,2019,Primary education,1
331,Australia,2020,Primary education,1
332,Australia,2015,Lower secondary education,0.89
333,Australia,2019,Lower secondary education,0.94
334,Australia,2020,Lower secondary education,0.96
335,Australia,1995,Upper secondary education,0.97
336,Australia,2015,Upper secondary education,0.85
337,Australia,2019,Upper secondary education,0.93
338,Australia,2020,Upper secondary education,0.97
339,Austria,1995,Primary education,0.99
340,Austria,2005,Primary education,1
341,Austria,2010,Primary education,0.99
342,Austria,2015,Primary education,0.99
343,Austria,2019,Primary education,0.99
344,Austria,2020,Primary education,0.99
345,Austria,2005,Lower secondary education,0.99
346,Austria,2010,Lower secondary education,1
347,Austria,2015,Lower secondary education,0.99
348,Austria,2019,Lower secondary education,1
349,Austria,2020,Lower secondary education,1
350,Austria,1995,Upper secondary education,0.88
351,Austria,2005,Upper secondary education,0.91
352,Austria,2010,Upper secondary education,0.93
353,Austria,2015,Upper secondary education,0.94
354,Austria,2019,Upper secondary education,0.95
355,Austria,2020,Upper secondary education,0.96
356,Azerbaijan,1995,Primary education,1.12
357,Azerbaijan,2005,Primary education,0.95
358,Azerbaijan,2010,Primary education,0.99
359,Azerbaijan,2015,Primary education,0.98
360,Azerbaijan,2019,Primary education,1.03
361,Azerbaijan,2020,Primary education,1.04
362,Azerbaijan,2021,Primary education,1.01
363,Azerbaijan,2005,Lower secondary education,0.96
364,Azerbaijan,2010,Lower secondary education,0.97
365,Azerbaijan,2015,Lower secondary education,0.97
366,Azerbaijan,2019,Lower secondary education,0.99
367,Azerbaijan,2020,Lower secondary education,1
368,Azerbaijan,2021,Lower secondary education,1
369,Azerbaijan,1995,Upper secondary education,0.88
370,Azerbaijan,2019,Upper secondary education,1.01
371,Azerbaijan,2020,Upper secondary education,0.95
372,Azerbaijan,2021,Upper secondary education,0.96
373,Bahamas,1995,Primary education,1
374,Bahamas,2005,Primary education,0.97
375,Bahamas,2005,Lower secondary education,0.95
376,Bahamas,2010,Lower secondary education,1.01
377,Bahamas,2005,Upper secondary education,1.05
378,Bahamas,2010,Upper secondary education,1.07
379,Bahrain,1995,Primary education,1.01
380,Bahrain,2005,Primary education,1.04
381,Bahrain,2015,Primary education,1.01
382,Bahrain,2019,Primary education,0.99
383,Bahrain,2005,Lower secondary education,1.05
384,Bahrain,2010,Lower secondary education,0.98
385,Bahrain,2015,Lower secondary education,0.96
386,Bahrain,2019,Lower secondary education,1.06
387,Bahrain,2005,Upper secondary education,1.19
388,Bahrain,2010,Upper secondary education,1.05
389,Bahrain,2015,Upper secondary education,1.03
390,Bahrain,2019,Upper secondary education,1.12
391,Bangladesh,2005,Primary education,1.05
392,Bangladesh,2010,Primary education,1.06
393,Bangladesh,2020,Primary education,1.09
394,Bangladesh,2021,Primary education,1.02
395,Bangladesh,2005,Lower secondary education,1.12
396,Bangladesh,2010,Lower secondary education,1.19
397,Bangladesh,2015,Lower secondary education,1.2
398,Bangladesh,2019,Lower secondary education,1.21
399,Bangladesh,2020,Lower secondary education,1.23
400,Bangladesh,2021,Lower secondary education,1.26
401,Bangladesh,2005,Upper secondary education,0.97
402,Bangladesh,2010,Upper secondary education,1
403,Bangladesh,2015,Upper secondary education,0.99
404,Bangladesh,2019,Upper secondary education,1.05
405,Bangladesh,2020,Upper secondary education,1.11
406,Bangladesh,2021,Upper secondary education,1.23
407,Barbados,2005,Primary education,1
408,Barbados,2010,Primary education,1.02
409,Barbados,2015,Primary education,0.99
410,Barbados,2019,Primary education,0.96
411,Barbados,2020,Primary education,0.97
412,Barbados,2021,Primary education,0.97
413,Barbados,2005,Lower secondary education,0.96
414,Barbados,2010,Lower secondary education,0.96
415,Barbados,2015,Lower secondary education,1.02
416,Barbados,2019,Lower secondary education,1.01
417,Barbados,2020,Lower secondary education,0.97
418,Barbados,2021,Lower secondary education,0.98
419,Barbados,2005,Upper secondary education,1.03
420,Barbados,2010,Upper secondary education,1.08
421,Barbados,2015,Upper secondary education,1.05
422,Barbados,2019,Upper secondary education,1.08
423,Barbados,2020,Upper secondary education,1.13
424,Barbados,2021,Upper secondary education,1.09
425,Belarus,1995,Primary education,0.96
426,Belarus,2005,Primary education,0.97
427,Belarus,2010,Primary education,1
428,Belarus,2015,Primary education,1
429,Belarus,2019,Primary education,1
430,Belarus,2020,Primary education,1
431,Belarus,2021,Primary education,1
432,Belarus,2005,Lower secondary education,0.97
433,Belarus,2010,Lower secondary education,0.99
434,Belarus,2015,Lower secondary education,1
435,Belarus,2019,Lower secondary education,1.01
436,Belarus,2020,Lower secondary education,1
437,Belarus,2021,Lower secondary education,1
438,Belarus,2010,Upper secondary education,0.93
439,Belarus,2015,Upper secondary education,0.95
440,Belarus,2019,Upper secondary education,0.95
441,Belarus,2020,Upper secondary education,0.95
442,Belarus,2021,Upper secondary education,0.95
443,Belgium,1995,Primary education,0.99
444,Belgium,2005,Primary education,1
445,Belgium,2010,Primary education,1
446,Belgium,2015,Primary education,1
447,Belgium,2019,Primary education,1.01
448,Belgium,2020,Primary education,1.01
449,Belgium,2005,Lower secondary education,1.15
450,Belgium,2010,Lower secondary education,1.04
451,Belgium,2015,Lower secondary education,1.06
452,Belgium,2019,Lower secondary education,1.06
453,Belgium,2020,Lower secondary education,1.06
454,Belgium,1995,Upper secondary education,1.05
455,Belgium,2005,Upper secondary education,1.1
456,Belgium,2010,Upper secondary education,1.18
457,Belgium,2015,Upper secondary education,1.18
458,Belgium,2019,Upper secondary education,1.17
459,Belgium,2020,Upper secondary education,1.18
460,Belize,1995,Primary education,0.96
461,Belize,2005,Primary education,0.96
462,Belize,2010,Primary education,0.96
463,Belize,2015,Primary education,0.95
464,Belize,2019,Primary education,0.97
465,Belize,2020,Primary education,0.95
466,Belize,2021,Primary education,0.96
467,Belize,2005,Lower secondary education,1
468,Belize,2010,Lower secondary education,1.05
469,Belize,2015,Lower secondary education,1
470,Belize,2019,Lower secondary education,0.98
471,Belize,2020,Lower secondary education,1
472,Belize,2021,Lower secondary education,0.99
473,Belize,2005,Upper secondary education,1.16
474,Belize,2010,Upper secondary education,1.2
475,Belize,2015,Upper secondary education,1.13
476,Belize,2019,Upper secondary education,1.17
477,Belize,2020,Upper secondary education,1.17
478,Belize,2021,Upper secondary education,1.17
479,Benin,1995,Primary education,0.57
480,Benin,2005,Primary education,0.79
481,Benin,2010,Primary education,0.89
482,Benin,2015,Primary education,0.93
483,Benin,2019,Primary education,0.93
484,Benin,2020,Primary education,0.93
485,Benin,2021,Primary education,0.93
486,Benin,2005,Lower secondary education,0.58
487,Benin,2015,Lower secondary education,0.81
488,Benin,2020,Lower secondary education,0.88
489,Benin,2021,Lower secondary education,0.9
490,Benin,2005,Upper secondary education,0.51
491,Benin,2015,Upper secondary education,0.5
492,Benin,2020,Upper secondary education,0.65
493,Benin,2021,Upper secondary education,0.69
494,Bermuda,1995,Primary education,0.99
495,Bermuda,2005,Primary education,1.05
496,Bermuda,2015,Primary education,0.98
497,Bermuda,2019,Primary education,1.07
498,Bermuda,2020,Primary education,1.04
499,Bermuda,2005,Lower secondary education,1.08
500,Bermuda,2010,Lower secondary education,1.15
501,Bermuda,2015,Lower secondary education,1.02
502,Bermuda,2005,Upper secondary education,1.18
503,Bermuda,2010,Upper secondary education,1.2
504,Bermuda,2015,Upper secondary education,1.22
505,Bhutan,1995,Primary education,0.78
506,Bhutan,2005,Primary education,0.97
507,Bhutan,2010,Primary education,1.02
508,Bhutan,2015,Primary education,1.01
509,Bhutan,2019,Primary education,1.01
510,Bhutan,2020,Primary education,1.02
511,Bhutan,2021,Primary education,1.04
512,Bhutan,2005,Lower secondary education,0.99
513,Bhutan,2010,Lower secondary education,1.07
514,Bhutan,2015,Lower secondary education,1.1
515,Bhutan,2019,Lower secondary education,1.13
516,Bhutan,2020,Lower secondary education,1.12
517,Bhutan,2021,Lower secondary education,1.15
518,Bhutan,2005,Upper secondary education,0.69
519,Bhutan,2010,Upper secondary education,0.91
520,Bhutan,2015,Upper secondary education,0.98
521,Bolivia (Plurin. State of),1995,Primary education,0.97
522,Bolivia (Plurin. State of),2005,Primary education,1
523,Bolivia (Plurin. State of),2010,Primary education,0.99
524,Bolivia (Plurin. State of),2015,Primary education,0.98
525,Bolivia (Plurin. State of),2019,Primary education,0.99
526,Bolivia (Plurin. State of),2020,Primary education,1
527,Bolivia (Plurin. State of),2021,Primary education,1
528,Bolivia (Plurin. State of),2005,Lower secondary education,0.96
529,Bolivia (Plurin. State of),2010,Lower secondary education,0.97
530,Bolivia (Plurin. State of),2015,Lower secondary education,0.96
531,Bolivia (Plurin. State of),2019,Lower secondary education,0.94
532,Bolivia (Plurin. State of),2020,Lower secondary education,0.95
533,Bolivia (Plurin. State of),2021,Lower secondary education,0.98
534,Bolivia (Plurin. State of),2005,Upper secondary education,0.95
535,Bolivia (Plurin. State of),2010,Upper secondary education,1.01
536,Bolivia (Plurin. State of),2015,Upper secondary education,1
537,Bolivia (Plurin. State of),2019,Upper secondary education,1.01
538,Bolivia (Plurin. State of),2020,Upper secondary education,1.02
539,Bolivia (Plurin. State of),2021,Upper secondary education,1.01
540,Bosnia and Herzegovina,2019,Upper secondary education,1.04
541,Bosnia and Herzegovina,2020,Upper secondary education,1.04
542,Bosnia and Herzegovina,2021,Upper secondary education,1.04
543,Botswana,1995,Primary education,1.02
544,Botswana,2005,Primary education,0.99
545,Botswana,2010,Primary education,0.97
546,Botswana,2015,Primary education,0.98
547,Botswana,2021,Primary education,0.98
548,Botswana,2005,Lower secondary education,1.06
549,Botswana,2015,Lower secondary education,1.03
550,Botswana,2019,Lower secondary education,1.04
551,Botswana,2021,Lower secondary education,1.04
552,Botswana,1995,Upper secondary education,0.93
553,Botswana,2005,Upper secondary education,0.97
554,Botswana,2021,Upper secondary education,1.31
555,Brazil,2005,Primary education,0.94
556,Brazil,2015,Primary education,0.96
557,Brazil,2019,Primary education,0.97
558,Brazil,2020,Primary education,0.95
559,Brazil,2005,Lower secondary education,1.06
560,Brazil,2015,Lower secondary education,0.99
561,Brazil,2019,Lower secondary education,0.99
562,Brazil,2020,Lower secondary education,1
563,Brazil,2005,Upper secondary education,1.17
564,Brazil,2015,Upper secondary education,1.17
565,Brazil,2019,Upper secondary education,1.11
566,Brazil,2020,Upper secondary education,1.11
567,British Virgin Islands,1995,Primary education,1
568,British Virgin Islands,2005,Primary education,0.96
569,British Virgin Islands,2010,Primary education,0.98
570,British Virgin Islands,2015,Primary education,0.94
571,British Virgin Islands,2019,Primary education,1
572,British Virgin Islands,2020,Primary education,1.01
573,British Virgin Islands,2021,Primary education,0.99
574,British Virgin Islands,2005,Lower secondary education,1.16
575,British Virgin Islands,2010,Lower secondary education,0.94
576,British Virgin Islands,2015,Lower secondary education,1.03
577,British Virgin Islands,2020,Lower secondary education,0.95
578,British Virgin Islands,2021,Lower secondary education,0.94
579,British Virgin Islands,2005,Upper secondary education,1.04
580,British Virgin Islands,2010,Upper secondary education,1.2
581,British Virgin Islands,2015,Upper secondary education,1.21
582,Brunei Darussalam,1995,Primary education,0.95
583,Brunei Darussalam,2005,Primary education,0.96
584,Brunei Darussalam,2010,Primary education,1
585,Brunei Darussalam,2015,Primary education,1
586,Brunei Darussalam,2019,Primary education,1.01
587,Brunei Darussalam,2020,Primary education,1
588,Brunei Darussalam,2005,Lower secondary education,0.93
589,Brunei Darussalam,2010,Lower secondary education,1
590,Brunei Darussalam,2015,Lower secondary education,0.98
591,Brunei Darussalam,2019,Lower secondary education,0.99
592,Brunei Darussalam,2020,Lower secondary education,1
593,Brunei Darussalam,2005,Upper secondary education,1.07
594,Brunei Darussalam,2010,Upper secondary education,1.01
595,Brunei Darussalam,2015,Upper secondary education,1.01
596,Brunei Darussalam,2019,Upper secondary education,1.05
597,Brunei Darussalam,2020,Upper secondary education,1.05
598,Bulgaria,1995,Primary education,0.99
599,Bulgaria,2005,Primary education,0.99
600,Bulgaria,2010,Primary education,1
601,Bulgaria,2015,Primary education,0.99
602,Bulgaria,2019,Primary education,0.99
603,Bulgaria,2020,Primary education,0.99
604,Bulgaria,2005,Lower secondary education,0.94
605,Bulgaria,2010,Lower secondary education,0.94
606,Bulgaria,2015,Lower secondary education,0.95
607,Bulgaria,2019,Lower secondary education,0.99
608,Bulgaria,2020,Lower secondary education,0.99
609,Bulgaria,1995,Upper secondary education,1.07
610,Bulgaria,2005,Upper secondary education,0.98
611,Bulgaria,2010,Upper secondary education,0.97
612,Bulgaria,2015,Upper secondary education,0.98
613,Bulgaria,2019,Upper secondary education,0.98
614,Bulgaria,2020,Upper secondary education,0.97
615,Burkina Faso,1995,Primary education,0.66
616,Burkina Faso,2005,Primary education,0.8
617,Burkina Faso,2010,Primary education,0.91
618,Burkina Faso,2015,Primary education,0.97
619,Burkina Faso,2019,Primary education,0.99
620,Burkina Faso,2020,Primary education,1.01
621,Burkina Faso,2021,Primary education,1.02
622,Burkina Faso,2005,Lower secondary education,0.74
623,Burkina Faso,2010,Lower secondary education,0.8
624,Burkina Faso,2015,Lower secondary education,0.98
625,Burkina Faso,2019,Lower secondary education,1.11
626,Burkina Faso,2020,Lower secondary education,1.14
